23	85.638083333	-10.02208333	P	Megeath
24	85.641208333	-10.02041666	P	Megeath
31	85.599	-10.01591666	P	Megeath
32	85.640875	-10.01469444	P	Megeath
37	85.585958333	-10.00563888	P	Megeath
40	85.5795	-10.00219444	P	Megeath
42	85.574291666	-9.996638888	P	Megeath
44	85.572708333	-9.994805555	P	Megeath
60	85.744208333	-9.921638888	P	Megeath
69	85.7345	-9.847666666	P	Megeath
76	85.703666666	-9.795166666	P	Megeath
77	85.620833333	-9.792388888	P	Megeath
89	85.704666666	-9.759555555	P	Megeath
122	85.122583333	-9.468777777	P	Megeath
125	85.503625	-9.420888888	P	Megeath
153	85.732708333	-9.225277777	P	Megeath
163	85.212833333	-9.106472222	P	Megeath
178	85.29925	-8.958527777	P	Megeath
180	85.299625	-8.950888888	P	Megeath
197	85.66075	-8.8385	P	Megeath
199	85.762	-8.797055555	P	Megeath
200	85.107208333	-8.781027777	P	Megeath
201	85.792416666	-8.768861111	P	Megeath
204	85.78025	-8.741972222	P	Megeath
211	85.371875	-8.717861111	P	Megeath
212	85.374083333	-8.712777777	P	Megeath
218	85.37675	-8.673	P	Megeath
219	85.376458333	-8.671555555	P	Megeath
221	85.383416666	-8.669361111	P	Megeath
222	85.37525	-8.669277777	P	Megeath
224	85.700375	-8.668972222	P	Megeath
242	85.742791666	-8.634833333	P	Megeath
244	85.384708333	-8.632083333	P	Megeath
246	85.743166666	-8.62875	P	Megeath
255	85.696791666	-8.610166666	P	Megeath
257	85.392375	-8.591027777	P	Megeath
268	85.731416666	-8.54675	P	Megeath
270	85.789916666	-8.490861111	P	Megeath
287	85.696041666	-8.285277777	P	Megeath
292	85.701916666	-8.27625	P	Megeath
301	85.087	-8.232	P	Megeath
319	85.697375	-8.169111111	P	Megeath
324	85.196333333	-8.163277777	P	Megeath
333	85.628333333	-8.151444444	P	Megeath
341	85.397666666	-8.139583333	P	Megeath
352	85.2035	-8.115888888	P	Megeath
353	85.256916666	-8.112444444	P	Megeath
354	85.188583333	-8.111694444	P	Megeath
358	85.208	-8.102305555	P	Megeath
362	85.258291666	-8.100527777	P	Megeath
367	85.355583333	-8.098555555	P	Megeath
368	85.22025	-8.096888888	P	Megeath
373	85.225041666	-8.086944444	P	Megeath
384	85.375875	-8.061527777	P	Megeath
385	85.370708333	-8.057166666	P	Megeath
386	85.361	-8.0535	P	Megeath
391	85.458125	-8.024027777	P	Megeath
392	85.467958333	-8.022777777	P	Megeath
393	85.358208333	-8.021055555	P	Megeath
396	85.36	-8.01725	P	Megeath
397	85.36275	-8.015222222	P	Megeath
398	85.159708333	-8.01	P	Megeath
401	85.246291666	-8.003972222	P	Megeath
406	85.34525	-7.982222222	P	Megeath
413	85.342041666	-7.9675	P	Megeath
420	85.35925	-7.947666666	P	Megeath
423	85.087	-7.940194444	P	Megeath
426	85.332791666	-7.929611111	P	Megeath
430	85.328708333	-7.92475	P	Megeath
432	85.356083333	-7.921944444	P	Megeath
433	85.352166666	-7.918694444	P	Megeath
436	85.086333333	-7.916583333	P	Megeath
437	85.168875	-7.911055555	P	Megeath
439	85.352958333	-7.902361111	P	Megeath
440	85.369875	-7.8975	P	Megeath
444	85.348666666	-7.896333333	P	Megeath
445	85.349875	-7.895	P	Megeath
449	85.334666666	-7.886277777	P	Megeath
455	85.084791666	-7.854138888	P	Megeath
457	85.331916666	-7.844722222	P	Megeath
465	85.183166666	-7.825111111	P	Megeath
470	85.151458333	-7.818611111	P	Megeath
473	85.062208333	-7.813527777	P	Megeath
475	85.074125	-7.807222222	P	Megeath
489	85.178791666	-7.750527777	P	Megeath
498	85.102583333	-7.718972222	P	Megeath
509	85.108708333	-7.625555555	P	Megeath
514	84.994583333	-7.520027777	P	Megeath
518	84.983125	-7.507777777	P	Megeath
519	84.986916666	-7.506777777	P	Megeath
524	84.986458333	-7.501694444	P	Megeath
527	84.989208333	-7.492611111	P	Megeath
528	85.024583333	-7.492472222	P	Megeath
529	84.991541666	-7.482638888	P	Megeath
536	85.114291666	-7.458277777	P	Megeath
537	85.036583333	-7.457694444	P	Megeath
545	84.831708333	-7.438555555	P	Megeath
550	84.893	-7.4365	P	Megeath
551	84.83325	-7.436444444	P	Megeath
558	84.985416666	-7.430972222	P	Megeath
560	85.005708333	-7.427388888	P	Megeath
562	84.99125	-7.420305555	P	Megeath
564	84.04475	-7.407916666	P	Megeath
567	84.981	-7.405416666	P	Megeath
572	84.977416666	-7.404111111	P	Megeath
575	84.961041666	-7.391805555	P	Megeath
577	84.88875	-7.382611111	P	Megeath
587	84.716708333	-7.351694444	P	Megeath
594	84.8265	-7.339888888	P	Megeath
595	84.753916666	-7.339611111	P	Megeath
602	84.938041666	-7.320416666	P	Megeath
617	84.762333333	-7.214527777	P	Megeath
623	84.144833333	-7.187138888	P	Megeath
627	84.688833333	-7.182194444	P	Megeath
628	84.781541666	-7.181138888	P	Megeath
629	84.774291666	-7.177611111	P	Megeath
630	84.799375	-7.176388888	P	Megeath
632	85.040833333	-7.164972222	P	Megeath
636	84.531375	-7.141444444	P	Megeath
638	84.494833333	-7.123694444	P	Megeath
640	84.487541666	-7.115694444	P	Megeath
669	84.724791666	-7.042555555	P	Megeath
670	84.575625	-7.040638888	P	Megeath
678	84.692833333	-7.031527777	P	Megeath
687	84.706708333	-7.021611111	P	Megeath
688	84.682666666	-7.020333333	P	Megeath
690	84.68975	-7.017277777	P	Megeath
691	84.687541666	-7.017166666	P	Megeath
695	84.69025	-7.015138888	P	Megeath
696	84.700083333	-7.01375	P	Megeath
