# Key JulianDate ELEV Airmass Tau225 CalF_lin CalF_gauss Beam_lin Beam_gauss Beam_lin_fwhm Beam_gauss_fwhm Sigx_fwhm Sigy_fwhm dx dy B B_err M M_err Amp Amp_err Sigx Sigx_err Sigy Sigy_err Theta Theta_err 
20160115-84 2457403.333571783 44.0 1.4447898582157 0.067121898651123 1.0 1.0 12.872823994839246 9.70723021488769 21.43629598416243 16.164833773549606 20.621193315692903 12.671519389114941 0.0 0.0 39888.056904288096 297.0516002797829 -240.71060144666254 10.79748787948782 38880.19761400502 431.13149452949494 12.3833423606668 0.7468563205275389 7.609441433528657 0.18756733867855988 4.605838895834456 0.03868328727594607
20160205-63 2457424.173941551 41.0 1.5366530544158499 0.0380936319828035 1.1828020123484257 1.1884515546289167 12.468638967600517 9.355889930324814 20.76323233630011 15.579769118422725 12.180813203104297 19.927175775218235 -7.315906715455441 -2.845735215575644 52354.91122682037 417.0822374580593 -336.75909016228246 15.160465000842237 51011.83879903773 605.8333314484108 7.31476485459166 0.18162289387432395 11.966574200045105 0.7306557369270368 -3.2116044120070164 0.0382795991972645
20160226-51 2457445.0940809525 37.0 1.64825109935195 0.0450719435214995 1.1732510392198747 1.1821886923652194 12.369812746545247 9.255392877766274 20.598663308836798 15.412417761405457 12.08422158016895 19.65725468340554 -4.938799567752341 1.1032643617897975 50699.46352290693 406.7698324824563 -331.34247593021314 14.785620958425413 49397.062575801276 599.8823214519975 7.256760105900876 0.18190633775262613 11.804482451080322 0.7178719613370672 -0.08431173388909471 0.0391476988914414
20160319-65 2457467.1138750287 45.0 1.4028619059498 0.043907464265823 1.1116045587892425 1.1116007533939098 12.548291956491926 9.45865418083055 20.89587339832224 15.750895896145678 12.288427726795126 20.18897185603759 -3.922049273829856 -0.4621376321959758 46834.41348135941 371.93025028544935 -297.4375919489891 13.51924159241106 45613.580556135945 546.4906257285987 7.379389023980998 0.18718189835191923 12.123786755489204 0.7622628413466156 3.0454877037117427 0.03923193062180799
20160417-43 2457495.9824353848 41.0 1.512768464113 0.03837327671051 1.1384259010046038 1.148644378741861 12.616871493213623 9.428387311308207 21.010074543945947 15.700494401193593 12.466801281429024 19.772956901873012 -3.412026774018557 -1.2003822676900313 49660.15988816051 364.60187385019265 -311.96419678954345 13.252863397712211 48393.14168070035 554.3243772268311 7.486505074992444 0.1861885175118639 11.873963405030791 0.6872679815951229 -0.0788966576009777 0.04002458152683258
20160521-34 2457529.8544511627 36.0 1.7134033998251499 0.0742471404075625 1.0409666650391298 1.0579768058066152 12.679682961997973 9.414572584754477 21.114670492480716 15.67748961471747 12.451495629791243 19.739289795156505 -1.625308078441492 -0.2802792429096712 41935.869495963154 304.3196213545284 -260.8367994224071 11.061672179858114 40934.67196559279 445.32637443271943 7.477313796806836 0.1764212068847235 11.853745791899433 0.651022058664191 -0.056130427088921755 0.037740628608887015
20170206-83 2457791.1673330194 41.0 1.51731233854965 0.10993217182159 1.084720722117611 1.0957153115154872 12.553150405248038 9.370652483152963 20.903963864377058 15.604352259777947 12.364906997773026 19.692490165198315 -0.6776540211717759 -0.5706828657600056 44630.99369673517 332.46216932943685 -283.22467799346583 12.084621772840862 43498.36468585726 500.631777311314 7.425315997338686 0.18316398577588577 11.825641897461677 0.6835080854285468 -3.2132044421582564 0.03940114583084547
20170320-53 2457833.0467839884 40.0 1.5621956130549 0.0634746809005735 1.1391985975441092 1.1480269908575993 12.570922982201392 9.40758238594544 20.93355940768023 15.665849280730248 19.937933106508957 12.309141192094616 -3.600507504027888 0.39651252508414814 49366.056114112886 379.0429854537348 -312.3878264023576 13.777781627378113 48128.02751708127 549.1495602727178 11.973034142213377 0.7037652735625253 7.3918277770809055 0.17947424026238262 1.522477087806293 0.03767294744545553
20170419-33 2457862.9422177314 37.0 1.6890189985661999 0.10684004974365 1.098573748534542 1.1140513180646632 12.440334361083975 9.252632685275843 20.716098473268413 15.407821388207015 12.190992027369456 19.473473479263312 -1.2947907453580285 0.5254618202107793 44959.11545237686 343.47745533757245 -290.5050269365985 12.48501496907395 43840.83748857978 510.2173290294246 7.320877394432339 0.17856178316305812 11.694119023731194 0.6703428706742363 -6.352175909606377 0.03881655390749308
20170518-28 2457891.865563044 36.0 1.71923430486825 0.038884241104126 1.2019687546096403 1.2173051893366424 12.469454112882966 9.287502441593773 20.76458974595254 15.465887778116986 19.640022866462242 12.178890339978222 -3.826586740117193 0.4038642862562085 54072.500991451365 418.7498498940046 -347.7615593310624 15.221080947990652 52739.333073113325 602.0823989140074 11.79413448113317 0.6740469756312112 7.313610145839438 0.17465588861725936 7.788830517971969 0.03747250314012996
